,NormMSE,1-PCC,split,subgroup,Method
A549_AHR+KLF1_1+1,0.5009999871253967,0.3511037227581255,1,seen2,biolord
A549_CEBPE+CNN1_1+1,0.35049813985824585,0.06987446174025536,1,seen2,biolord
A549_CEBPE+KLF1_1+1,1.1285021305084229,0.8094100291491486,1,seen2,biolord
A549_CNN1+MAPK1_1+1,0.12177086621522903,0.04409290850162506,1,seen2,biolord
A549_ETS2+CEBPE_1+1,0.10019080340862274,0.006527209188789129,1,seen2,biolord
A549_ETS2+CNN1_1+1,0.0691266804933548,0.03064879309386015,1,seen2,biolord
A549_ETS2+MAPK1_1+1,0.10163291543722153,0.014238657313399017,1,seen2,biolord
A549_FEV+ISL2_1+1,0.08243568241596222,0.016614379361271858,1,seen2,biolord
A549_FOSB+CEBPE_1+1,0.055445581674575806,0.023598801344633102,1,seen2,biolord
A549_FOXA1+HOXB9_1+1,0.06102549284696579,0.01883576632826589,1,seen2,biolord
A549_FOXA3+HOXB9_1+1,0.05588072910904884,0.017744628014042974,1,seen2,biolord
A549_KLF1+FOXA1_1+1,0.7559219598770142,0.5597590687248157,1,seen2,biolord
A549_MAP2K3+IKZF3_1+1,0.03575003892183304,0.025467991217738017,1,seen2,biolord
A549_POU3F2+CBFA2T3_1+1,0.09829097241163254,0.04720518036629073,1,seen2,biolord
A549_SNAI1+DLX2_1+1,0.08090437948703766,0.028041769572155317,1,seen2,biolord
A549_TBX3+TBX2_1+1,0.4133264124393463,0.20432270850687928,1,seen2,biolord
A549_UBASH3B+PTPN12_1+1,0.05320694297552109,0.021214671432971954,1,seen2,biolord
A549_UBASH3B+ZBTB25_1+1,0.054001014679670334,0.020972371916286647,1,seen2,biolord
A549_ZC3HAV1+HOXC13_1+1,0.09947097301483154,0.04413960035890341,1,seen2,biolord
A549_BAK1+ctrl_1+1,1.5187592506408691,0.8633272838778794,2,single,biolord
A549_BPGM+ctrl_1+1,0.5348169207572937,0.09744501445675269,2,single,biolord
A549_CEBPA+ctrl_1+1,0.3428899049758911,0.05521607352420688,2,single,biolord
A549_CKS1B+ctrl_1+1,0.8065627217292786,0.4666236731573008,2,single,biolord
A549_CNN1+ctrl_1+1,0.48387613892555237,0.11689198692329228,2,single,biolord
A549_ETS2+ctrl_1+1,3.3604073524475098,1.6919006041716784,2,single,biolord
A549_FOSB+ctrl_1+1,1.0397956371307373,1.0455346499802545,2,single,biolord
A549_FOXA1+ctrl_1+1,0.45215970277786255,0.22323751635849476,2,single,biolord
A549_FOXL2+ctrl_1+1,0.608387291431427,0.374972024706949,2,single,biolord
A549_FOXO4+ctrl_1+1,0.6672626733779907,0.22626760881394148,2,single,biolord
A549_GLB1L2+ctrl_1+1,0.8330434560775757,0.42315750555826526,2,single,biolord
A549_HES7+ctrl_1+1,0.7949274778366089,0.46657339204102755,2,single,biolord
A549_HNF4A+ctrl_1+1,0.8515313267707825,0.695273811230436,2,single,biolord
