,NormMSE,1-PCC,split,Method
THOC2+ctrl,0.515661,0.1833045557615569,2,Scouter
EXOSC8+ctrl,0.15715517,0.025975884652847947,2,Scouter
TBCB+ctrl,0.7129721,0.38926126772819847,2,Scouter
MRPL53+ctrl,0.56483054,0.3543241079893834,2,Scouter
DNAJC19+ctrl,0.7449746,0.3015890058506573,2,Scouter
RPS7+ctrl,0.023650091,0.008251213645286248,2,Scouter
GAR1+ctrl,1.0015949,1.2100584035214819,2,Scouter
MCM10+ctrl,0.13138539,0.06718549919153205,2,Scouter
MED20+ctrl,0.07590593,0.05001724208801284,2,Scouter
NAT10+ctrl,0.62389004,0.4278320827892741,2,Scouter
OXA1L+ctrl,0.17107615,0.22924821592597633,2,Scouter
SART3+ctrl,0.66949505,0.17732046020836134,2,Scouter
RPL30+ctrl,0.04754448,0.018660452920630455,2,Scouter
SF3B5+ctrl,0.34451047,0.07479826165606918,2,Scouter
EIF3D+ctrl,0.5894984,0.22504111230044288,2,Scouter
RNPS1+ctrl,0.83589846,0.4802676288793799,2,Scouter
ETF1+ctrl,0.27499685,0.05501385973389361,2,Scouter
RPL4+ctrl,0.044064082,0.012636863549863375,2,Scouter
UXT+ctrl,0.7633751,0.48115424459355727,2,Scouter
ACTR8+ctrl,0.8061525,0.7996120389080079,2,Scouter
EXOSC2+ctrl,0.22060944,0.024966784931907626,2,Scouter
MRPS2+ctrl,0.27459714,0.1410234161712045,2,Scouter
DDX10+ctrl,0.3258675,0.06553374617609165,2,Scouter
ERCC3+ctrl,0.6241634,0.37839402808475275,2,Scouter
RBM42+ctrl,0.6730571,0.315897045728459,2,Scouter
CDC40+ctrl,0.3374893,0.21620716441639365,2,Scouter
PPP1R11+ctrl,1.5581129,1.361163184935835,2,Scouter
POLR2I+ctrl,0.387271,0.32092561329709346,2,Scouter
RPF2+ctrl,0.11601664,0.06530693447046976,2,Scouter
WDHD1+ctrl,0.3362775,0.25592672835813146,2,Scouter
PSMD6+ctrl,0.2554762,0.02019427070788682,2,Scouter
DHX16+ctrl,0.69207233,0.27354753392084763,2,Scouter
PSMB3+ctrl,0.595419,0.1810206644049802,2,Scouter
RANGAP1+ctrl,0.8070098,0.6215626854166036,2,Scouter
NOL8+ctrl,0.083410114,0.04030899158953616,2,Scouter
IGBP1+ctrl,0.88803697,0.6746697028790603,2,Scouter
SNRNP27+ctrl,1.0398705,0.8043342524035438,2,Scouter
SRP54+ctrl,0.8561754,0.79206425192413,2,Scouter
GFM1+ctrl,1.3153939,0.635880874896767,2,Scouter
